epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,191.692,1.08946,0.58631,0.00902,0.93732,0.96488,0.97701,0.696,1.12429,0.4632,0.00901,0.00765843,0.00765843,0.00765843
99,193.641,1.19029,0.65536,0.00996,0.95936,0.96774,0.97986,0.69546,1.11371,0.41222,0.00905,0.00761423,0.00761423,0.00761423
100,195.621,1.07071,0.58329,0.00901,0.93517,0.93073,0.97371,0.64201,1.4013,0.51951,0.01223,0.00756976,0.00756976,0.00756976
101,197.738,1.06294,0.57452,0.00832,0.88405,0.98401,0.97647,0.65175,1.31795,0.47915,0.01137,0.007525,0.007525,0.007525
102,200.245,1.03203,0.57304,0.00873,0.99103,0.96774,0.99235,0.71272,1.12305,0.35319,0.00942,0.00747997,0.00747997,0.00747997
103,202.936,1.1172,0.57588,0.00977,0.93899,0.99305,0.99136,0.71985,1.1734,0.35241,0.01008,0.00743468,0.00743468,0.00743468
104,205.483,1.07951,0.6434,0.00924,0.99913,0.93548,0.98814,0.68066,1.23163,0.3789,0.01065,0.00738913,0.00738913,0.00738913
105,207.34,1.0853,0.60924,0.00985,0.96624,0.92361,0.98871,0.70953,1.12452,0.37475,0.00922,0.00734332,0.00734332,0.00734332
106,209.312,1.10216,0.60065,0.00915,0.96678,0.93893,0.9882,0.72097,1.06356,0.42835,0.00889,0.00729725,0.00729725,0.00729725
107,212.174,1.10342,0.59415,0.00969,0.95492,0.90323,0.97696,0.68467,1.20289,0.43198,0.01046,0.00725094,0.00725094,0.00725094
108,214.373,1.12412,0.56298,0.00947,0.94733,0.90323,0.97681,0.66557,1.13176,0.45188,0.00968,0.00720439,0.00720439,0.00720439
109,216.436,0.97583,0.52549,0.00764,0.96541,0.9005,0.98014,0.70057,1.09272,0.44476,0.00909,0.00715761,0.00715761,0.00715761
110,218.475,1.03827,0.55568,0.00964,1,0.93224,0.98395,0.71287,1.08128,0.41792,0.0091,0.00711059,0.00711059,0.00711059
111,220.434,1.02712,0.52832,0.00906,0.90198,0.89079,0.96362,0.70169,1.05462,0.46802,0.00886,0.00706335,0.00706335,0.00706335
112,222.611,1.03245,0.5801,0.00883,0.886,0.96774,0.97007,0.68376,1.11563,0.43691,0.00897,0.00701588,0.00701588,0.00701588
113,224.719,1.09584,0.59037,0.00964,0.9325,0.8915,0.96641,0.69242,1.07792,0.4489,0.00847,0.0069682,0.0069682,0.0069682
114,226.774,1.06356,0.62444,0.00908,0.96173,0.81085,0.96619,0.68706,1.08407,0.4736,0.00867,0.00692031,0.00692031,0.00692031
115,229.064,1.11395,0.60105,0.00917,0.90775,0.96774,0.97572,0.68494,1.12907,0.42728,0.00914,0.00687222,0.00687222,0.00687222
116,231.148,1.05984,0.57794,0.00856,0.92466,0.96774,0.97583,0.7199,1.03778,0.41885,0.00848,0.00682392,0.00682392,0.00682392
117,233.373,1.10104,0.57698,0.00917,1,0.86272,0.97889,0.68728,1.13068,0.43259,0.00958,0.00677543,0.00677543,0.00677543
118,235.62,1.05658,0.60638,0.00845,0.99239,0.93548,0.99221,0.69481,1.14476,0.38504,0.00941,0.00672675,0.00672675,0.00672675
119,237.799,1.02759,0.63346,0.00932,0.99873,0.93548,0.98884,0.68707,1.12271,0.40488,0.00927,0.00667789,0.00667789,0.00667789
120,240.294,1.02533,0.57277,0.00899,0.99366,0.93548,0.98971,0.71515,1.06651,0.34256,0.00879,0.00662885,0.00662885,0.00662885
121,242.84,0.99145,0.52042,0.0075,0.99634,0.93548,0.99221,0.69473,1.10508,0.41788,0.00912,0.00657963,0.00657963,0.00657963
122,245.132,1.01481,0.55626,0.00809,0.96378,0.96774,0.98964,0.6812,1.20137,0.41321,0.01017,0.00653025,0.00653025,0.00653025
123,247.856,0.95624,0.50259,0.00859,1,0.96359,0.99318,0.71323,1.10573,0.34336,0.00929,0.00648071,0.00648071,0.00648071
124,249.874,0.99942,0.56213,0.0087,0.96871,0.99857,0.99312,0.67964,1.18816,0.38182,0.0103,0.00643101,0.00643101,0.00643101
125,251.888,1.00083,0.50783,0.00824,0.93921,0.99695,0.99221,0.65992,1.23431,0.42376,0.01058,0.00638115,0.00638115,0.00638115
126,254.191,1.03232,0.57101,0.00815,0.99176,1,0.995,0.71888,1.01146,0.31051,0.00832,0.00633115,0.00633115,0.00633115
127,256.399,1.06334,0.59003,0.00901,0.96763,0.96443,0.96306,0.66366,1.16166,0.58841,0.01001,0.00628101,0.00628101,0.00628101
